question,correct_answer,student_answer,label,processed_correct_answer,processed_student_answer
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is the chemical symbol for Iron?,The chemical symbol for Iron is Fe.,Iron's symbol is Ir.,0,chemical symbol iron fe,iron symbol ir
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Albert Einstein discovered gravity.,0,gravity discovered isaac newton,albert einstein discovered gravity
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Deoxyribonucleic Acid.,1,dna stands deoxyribonucleic acid,dna deoxyribonucleic acid
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is diamond.,Gold is the hardest natural material.,0,hardest natural substance earth diamond,gold hardest natural material
What is the square root of 64?,The square root of 64 is 8.,Eight is the square root of 64.,1,square root 64 8,eight square root 64
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Jupiter is the largest planet in the Solar System.,1,largest planet solar system jupiter,jupiter largest planet solar system
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor compares things symbolically.,1,metaphor figure speech one thing said another,metaphor compares things symbolically
What is a noun?,A noun is a word that names a person place thing or idea.,A noun refers to an object or idea.,1,noun word names person place thing idea,noun refers object idea
What is a preposition?,A preposition shows the relationship between a noun and another word.,A preposition indicates location or time.,1,preposition shows relationship noun another word,preposition indicates location time
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo painted the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo painted sistine chapel ceiling
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi Desert is the largest.,0,largest desert world sahara desert,gobi desert largest
What is a verb?,A verb is a word that describes an action state or occurrence.,A noun names an object.,0,verb word describes action state occurrence,noun names object
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The primary function of lungs is to facilitate gas exchange.,1,lungs help breathing exchanging oxygen carbon dioxide,primary function lungs facilitate gas exchange
What is the chemical formula for water?,The chemical formula for water is H2O.,The formula for water is CO2.,0,chemical formula water h2o,formula water co2
What is the largest continent?,The largest continent is Asia.,The largest continent is Asia.,1,largest continent asia,largest continent asia
What is a noun?,A noun is a word that names a person place thing or idea.,A noun describes an action.,0,noun word names person place thing idea,noun describes action
What is the capital of Italy?,The capital of Italy is Rome.,Venice is the capital of Italy.,0,capital italy rome,venice capital italy
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert.,The Gobi is the largest desert.,0,largest desert world sahara desert,gobi largest desert
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Sad' is the opposite of 'happy'.,1,antonym,opposite
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,The planet Jupiter is the largest.,1,largest planet solar system jupiter,planet jupiter largest
What is the result of 5 x 6?,The result of 5 x 6 is 30.,5 multiplied by 6 equals 30.,1,result 5 x 6 30,5 multiplied 6 equals 30
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys filter blood and remove waste.,1,kidneys filter waste blood,kidneys filter blood remove waste
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,The speed of light is roughly 300000 kilometers per second.,1,speed light approximately 300000 kilometers per second,speed light roughly 300000 kilometers per second
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is the smallest prime number?,The smallest prime number is 2.,2 is the smallest prime.,1,smallest prime number 2,2 smallest prime
What is the smallest ocean?,The smallest ocean is the Arctic Ocean.,The Pacific Ocean is the smallest.,0,smallest ocean arctic ocean,pacific ocean smallest
What is the freezing point of water in Fahrenheit?,The freezing point of water is 32 degrees Fahrenheit.,Water freezes at 0°F.,0,freezing point water 32 degrees fahrenheit,water freezes
What is the process of water changing to vapor called?,The process of water changing to vapor is called evaporation.,Water changes to vapor during evaporation.,1,process water changing vapor called evaporation,water changes vapor evaporation
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys filter and clean the blood.,1,kidneys filter waste blood,kidneys filter clean blood
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Water freezes at 100 degrees Celsius.,0,freezing point water 0 degrees celsius,water freezes 100 degrees celsius
What is the capital of Australia?,The capital of Australia is Canberra.,Australia's capital is Canberra.,1,capital australia canberra,australia capital canberra
What is the square root of 64?,The square root of 64 is 8.,Eight is the square root of 64.,1,square root 64 8,eight square root 64
What does HCl stand for in chemistry?,HCl stands for Hydrochloric Acid.,Hydrochloric Acid is the full form of HCl.,1,hcl stands hydrochloric acid,hydrochloric acid full form hcl
What is the square root of 64?,The square root of 64 is 8.,The square root of 64 is 8.,1,square root 64 8,square root 64 8
What is the function of the kidneys?,The kidneys filter waste from the blood.,Kidneys remove waste and toxins from the blood.,1,kidneys filter waste blood,kidneys remove waste toxins blood
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,Water boils at 100°F.,0,boiling point water 212 degrees fahrenheit,water boils
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is the name of the first president of the United States?,The first president of the United States is George Washington.,Abraham Lincoln was the first president.,0,first president united states george washington,abraham lincoln first president
Who painted the Sistine Chapel ceiling?,The Sistine Chapel ceiling was painted by Michelangelo.,Michelangelo is the artist behind the Sistine Chapel ceiling.,1,sistine chapel ceiling painted michelangelo,michelangelo artist behind sistine chapel ceiling
What is the chemical formula for water?,The chemical formula for water is H2O.,H2O is the formula for water.,1,chemical formula water h2o,h2o formula water
What is the largest planet in the Solar System?,The largest planet in the Solar System is Jupiter.,Mars is the largest planet.,0,largest planet solar system jupiter,mars largest planet
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb shows an activity.,1,verb word describes action state occurrence,verb shows activity
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
What is the function of the heart?,The heart pumps blood throughout the body.,The heart circulates blood in the body.,1,heart pumps blood throughout body,heart circulates blood body
What is the formula for the area of a rectangle?,The formula for the area of a rectangle is length x width.,Area of a rectangle is length plus width.,0,formula area rectangle length x width,area rectangle length plus width
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon is a shape with straight edges.,1,polygon closed figure straight sides,polygon shape straight edges
What is the main ingredient in bread?,The main ingredient in bread is flour.,Bread is made with sugar.,0,main ingredient bread flour,bread made sugar
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What is the capital of Japan?,The capital of Japan is Tokyo.,Tokyo is Japan's capital.,1,capital japan tokyo,tokyo japan capital
What is an antonym for 'happy'?,An antonym for 'happy' is 'sad'.,'Sad' is the opposite of 'happy'.,1,antonym,opposite
What is a polygon?,A polygon is a closed figure with straight sides.,A polygon has curved sides and is an open shape.,0,polygon closed figure straight sides,polygon curved sides open shape
Who wrote 'Hamlet'?,'Hamlet' was written by William Shakespeare.,Charles Dickens wrote 'Hamlet'.,0,written william shakespeare,charles dickens wrote
What is the capital of Australia?,The capital of Australia is Canberra.,Sydney is the capital of Australia.,0,capital australia canberra,sydney capital australia
What is the chemical symbol for Sodium?,The chemical symbol for Sodium is Na.,The symbol for Sodium is So.,0,chemical symbol sodium na,symbol sodium
What is the sum of angles in a triangle?,The sum of angles in a triangle is 180 degrees.,The total of a triangle's angles is 180 degrees.,1,sum angles triangle 180 degrees,total triangle angles 180 degrees
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is where we live.,0,galaxy called milky way,andromeda galaxy live
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.,DNA is Dynamic Nucleic Acid.,0,dna stands deoxyribonucleic acid,dna dynamic nucleic acid
What is a synonym for 'big'?,A synonym for 'big' is 'large'.,A synonym for 'big' is 'huge'.,1,synonym,synonym
What is a metaphor?,A metaphor is a figure of speech where one thing is said to be another.,A metaphor uses 'like' or 'as'.,0,metaphor figure speech one thing said another,metaphor uses
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,Leonardo da Vinci painted the Mona Lisa.,1,mona lisa painted leonardo da vinci,leonardo da vinci painted mona lisa
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The primary function of lungs is to facilitate gas exchange.,1,lungs help breathing exchanging oxygen carbon dioxide,primary function lungs facilitate gas exchange
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,Water boils at 100 degrees Celsius.,1,boiling point water 100 degrees celsius,water boils 100 degrees celsius
Who discovered gravity?,Gravity was discovered by Isaac Newton.,Isaac Newton is known for discovering gravity.,1,gravity discovered isaac newton,isaac newton known discovering gravity
Who invented the telephone?,The telephone was invented by Alexander Graham Bell.,Alexander Graham Bell invented the telephone.,1,telephone invented alexander graham bell,alexander graham bell invented telephone
What is the boiling point of water in Fahrenheit?,The boiling point of water is 212 degrees Fahrenheit.,At 212°F water reaches its boiling point.,1,boiling point water 212 degrees fahrenheit,water reaches boiling point
What is the name of our galaxy?,Our galaxy is called the Milky Way.,The Andromeda galaxy is our galaxy.,0,galaxy called milky way,andromeda galaxy galaxy
What is a synonym for 'quick'?,A synonym for 'quick' is 'fast'.,A synonym for 'quick' is 'slow'.,0,synonym,synonym
Who wrote '1984'?,'1984' was written by George Orwell.,Charles Dickens wrote '1984'.,0,written george orwell,charles dickens wrote
What is the function of the kidneys?,The kidneys filter waste from the blood.,The kidneys pump blood through the body.,0,kidneys filter waste blood,kidneys pump blood body
What is a verb?,A verb is a word that describes an action state or occurrence.,A verb indicates motion or action.,1,verb word describes action state occurrence,verb indicates motion action
What is the speed of light?,The speed of light is approximately 300000 kilometers per second.,Light travels at 300000 km/s.,1,speed light approximately 300000 kilometers per second,light travels 300000
What is the capital of Italy?,The capital of Italy is Rome.,Venice is the capital of Italy.,0,capital italy rome,venice capital italy
What is the formula for the area of a triangle?,The formula for the area of a triangle is 1/2 x base x height.,To find a triangle's area multiply 1/2 by its base and height.,1,formula area triangle x base x height,find triangle area multiply base height
What is the function of the lungs?,The lungs help in breathing by exchanging oxygen and carbon dioxide.,The lungs pump blood through the body.,0,lungs help breathing exchanging oxygen carbon dioxide,lungs pump blood body
What is the main ingredient in bread?,The main ingredient in bread is flour.,Flour is the key ingredient for bread.,1,main ingredient bread flour,flour key ingredient bread
What is the capital of Australia?,The capital of Australia is Canberra.,Canberra is the capital of Australia.,1,capital australia canberra,canberra capital australia
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants make food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants make food
What is the function of the heart?,The heart pumps blood throughout the body.,The heart filters blood.,0,heart pumps blood throughout body,heart filters blood
What is photosynthesis?,Photosynthesis is the process by which plants make food using sunlight.,Photosynthesis helps plants make food.,1,photosynthesis process plants make food using sunlight,photosynthesis helps plants make food
What is the capital of France?,The capital of France is Paris.,Paris is the capital of France.,1,capital france paris,paris capital france
